"","X","age","workclass","education","educational.num","marital.status","race","gender","hours.per.week","income"
"122",122,41,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"123",123,24,"Private","HS-grad",9,"Never-married","Black","Female",40,"<=50K"
"124",124,42,"Self-emp-inc","Doctorate",16,"Married-civ-spouse","White","Male",41,">50K"
"125",125,57,"Private","HS-grad",9,"Married-civ-spouse","Black","Male",48,"<=50K"
"126",126,30,"Private","Assoc-acdm",12,"Never-married","White","Female",40,"<=50K"
"127",127,36,"Private","HS-grad",9,"Married-civ-spouse","White","Male",60,">50K"
"128",128,49,"Private","7th-8th",4,"Married-civ-spouse","Black","Male",40,"<=50K"
"129",129,33,"Private","HS-grad",9,"Married-civ-spouse","White","Female",35,"<=50K"
"130",130,23,"Private","10th",6,"Married-civ-spouse","White","Male",40,"<=50K"
"131",131,46,"Private","Masters",14,"Married-civ-spouse","White","Male",40,"<=50K"
"132",132,18,"Private","Some-college",10,"Never-married","Asian-Pac-Islander","Female",22,"<=50K"
"133",133,40,"Private","HS-grad",9,"Married-civ-spouse","White","Male",55,">50K"
"134",134,43,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","White","Male",45,">50K"
"135",135,34,"Private","Masters",14,"Never-married","White","Female",30,"<=50K"
"136",136,47,"Self-emp-not-inc","HS-grad",9,"Widowed","White","Female",30,"<=50K"
"137",137,44,"Private","Assoc-voc",11,"Widowed","White","Female",30,"<=50K"
"138",138,33,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"139",139,55,"Private","Bachelors",13,"Married-civ-spouse","White","Male",50,">50K"
"140",140,19,"Private","HS-grad",9,"Never-married","White","Male",30,"<=50K"
"141",141,28,"Private","Some-college",10,"Never-married","Black","Male",14,"<=50K"
"142",142,27,"Private","11th",7,"Married-civ-spouse","Black","Female",32,"<=50K"
"143",143,50,"Private","7th-8th",4,"Married-civ-spouse","White","Male",20,"<=50K"
"144",144,22,"Private","11th",7,"Never-married","White","Male",40,"<=50K"
"145",145,40,"State-gov","Bachelors",13,"Married-civ-spouse","White","Male",45,">50K"
"146",146,25,"Private","Some-college",10,"Never-married","White","Female",40,"<=50K"
"147",147,26,"Local-gov","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"148",148,22,"Private","Bachelors",13,"Never-married","White","Male",25,"<=50K"
"149",149,42,"Private","Some-college",10,"Never-married","Black","Female",40,"<=50K"
"150",150,38,"Self-emp-inc","Bachelors",13,"Divorced","White","Male",40,"<=50K"
"151",151,55,"Private","11th",7,"Married-civ-spouse","White","Male",30,"<=50K"
"152",152,32,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"153",153,22,"Private","HS-grad",9,"Married-civ-spouse","White","Male",45,"<=50K"
"154",154,29,"Private","Bachelors",13,"Never-married","White","Male",40,"<=50K"
"155",155,46,"State-gov","Masters",14,"Married-civ-spouse","White","Male",45,">50K"
"156",156,31,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"157",157,58,"Self-emp-not-inc","Doctorate",16,"Married-civ-spouse","White","Male",16,">50K"
"158",158,42,"Private","HS-grad",9,"Married-civ-spouse","White","Male",45,"<=50K"
"159",159,18,"Private","HS-grad",9,"Never-married","White","Male",25,"<=50K"
"160",160,58,"Local-gov","HS-grad",9,"Divorced","White","Male",33,"<=50K"
"161",161,54,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"162",162,34,"Private","Masters",14,"Never-married","White","Male",40,"<=50K"
"163",163,26,"Private","Bachelors",13,"Never-married","White","Female",40,"<=50K"
"164",164,61,"Private","12th",8,"Married-civ-spouse","White","Male",60,"<=50K"
"165",165,48,"Local-gov","Masters",14,"Separated","Black","Female",40,"<=50K"
"166",166,36,"Private","Some-college",10,"Married-civ-spouse","White","Male",45,">50K"
"167",167,24,"Private","Assoc-voc",11,"Married-civ-spouse","White","Male",45,"<=50K"
"168",168,40,"Private","Some-college",10,"Married-civ-spouse","White","Male",37,"<=50K"
"169",169,33,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","White","Male",50,">50K"
"170",170,37,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"171",171,34,"Private","Masters",14,"Never-married","White","Male",40,"<=50K"
"172",172,56,"Self-emp-inc","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"173",173,37,"Private","Bachelors",13,"Widowed","White","Female",55,"<=50K"
"174",174,44,"Private","HS-grad",9,"Divorced","Black","Female",40,"<=50K"
"175",175,54,"Private","HS-grad",9,"Divorced","White","Male",45,"<=50K"
"176",176,23,"Private","HS-grad",9,"Never-married","White","Male",50,"<=50K"
"177",177,34,"State-gov","Bachelors",13,"Married-spouse-absent","Black","Male",40,"<=50K"
"178",178,22,"Private","HS-grad",9,"Never-married","White","Female",45,"<=50K"
"179",179,33,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"180",180,39,"Private","Bachelors",13,"Separated","White","Male",50,">50K"
"181",181,47,"Private","Some-college",10,"Divorced","Black","Female",37,"<=50K"
"182",182,26,"Private","HS-grad",9,"Never-married","Black","Female",55,"<=50K"
"183",183,31,"Private","Some-college",10,"Divorced","White","Female",40,"<=50K"
"184",184,44,"Private","Some-college",10,"Never-married","White","Male",45,"<=50K"
"185",185,42,"Self-emp-inc","Prof-school",15,"Married-civ-spouse","White","Female",50,">50K"
"186",186,19,"Private","HS-grad",9,"Never-married","White","Female",40,"<=50K"
"187",187,27,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"188",188,51,"Local-gov","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"189",189,28,"Self-emp-inc","Bachelors",13,"Married-civ-spouse","White","Male",50,"<=50K"
"190",190,57,"Private","Bachelors",13,"Divorced","White","Male",45,"<=50K"
"191",191,45,"Local-gov","Bachelors",13,"Divorced","White","Female",40,"<=50K"
"192",192,50,"Private","Assoc-voc",11,"Married-civ-spouse","White","Male",40,">50K"
"193",193,34,"Self-emp-inc","Bachelors",13,"Married-civ-spouse","White","Male",54,"<=50K"
"194",194,45,"Private","7th-8th",4,"Married-civ-spouse","Black","Male",40,"<=50K"
"195",195,73,"Local-gov","HS-grad",9,"Married-civ-spouse","White","Male",20,"<=50K"
"196",196,34,"Private","Bachelors",13,"Married-civ-spouse","White","Female",50,">50K"
"197",197,31,"Private","Some-college",10,"Married-civ-spouse","White","Male",55,">50K"
"198",198,19,"Private","11th",7,"Never-married","White","Male",12,"<=50K"
"199",199,25,"Private","Some-college",10,"Never-married","White","Female",50,"<=50K"
"200",200,38,"Federal-gov","Assoc-voc",11,"Divorced","White","Female",40,"<=50K"
"201",201,39,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,"<=50K"
"202",202,23,"Private","Bachelors",13,"Never-married","Black","Female",32,"<=50K"
"203",203,49,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"204",204,33,"Federal-gov","HS-grad",9,"Never-married","White","Male",32,"<=50K"
"205",205,21,"Private","5th-6th",3,"Never-married","White","Male",38,"<=50K"
"206",206,31,"Private","Assoc-voc",11,"Separated","White","Male",40,"<=50K"
"207",207,23,"Private","Bachelors",13,"Never-married","White","Female",45,"<=50K"
"208",208,34,"Private","Bachelors",13,"Married-civ-spouse","Asian-Pac-Islander","Male",40,"<=50K"
"209",209,25,"Private","HS-grad",9,"Never-married","Asian-Pac-Islander","Female",40,"<=50K"
"210",210,39,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"211",211,52,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"212",212,63,"Local-gov","9th",5,"Married-civ-spouse","White","Male",40,">50K"
"213",213,41,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"214",214,46,"Private","Bachelors",13,"Married-civ-spouse","White","Male",38,">50K"
"215",215,53,"Local-gov","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"216",216,18,"Private","12th",8,"Never-married","White","Male",40,"<=50K"
"217",217,38,"Private","Prof-school",15,"Married-civ-spouse","White","Male",50,"<=50K"
"218",218,55,"Private","Masters",14,"Never-married","Asian-Pac-Islander","Female",50,"<=50K"
"219",219,34,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"220",220,80,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","White","Male",30,"<=50K"
"221",221,34,"Private","Assoc-voc",11,"Divorced","White","Female",60,"<=50K"
"222",222,52,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"223",223,42,"Private","HS-grad",9,"Never-married","Black","Female",28,"<=50K"
"224",224,26,"Private","Some-college",10,"Never-married","White","Female",40,"<=50K"
"225",225,31,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"226",226,25,"Local-gov","HS-grad",9,"Never-married","White","Female",35,"<=50K"
"227",227,55,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","White","Male",60,"<=50K"
"228",228,19,"Private","Some-college",10,"Never-married","White","Female",12,"<=50K"
"229",229,62,"Self-emp-not-inc","Some-college",10,"Married-civ-spouse","White","Male",32,"<=50K"
"230",230,22,"Federal-gov","Some-college",10,"Never-married","White","Female",20,"<=50K"
"231",231,35,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"232",232,28,"Private","HS-grad",9,"Married-civ-spouse","White","Female",40,"<=50K"
"233",233,47,"Private","HS-grad",9,"Married-civ-spouse","White","Male",70,">50K"
"234",234,44,"State-gov","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"235",235,21,"Private","Some-college",10,"Never-married","White","Male",15,"<=50K"
"236",236,35,"Private","Assoc-voc",11,"Never-married","White","Male",50,"<=50K"
"237",237,24,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"238",238,42,"Federal-gov","Bachelors",13,"Never-married","White","Male",40,"<=50K"
"239",239,28,"Private","Bachelors",13,"Never-married","White","Male",50,"<=50K"
"240",240,21,"Private","Some-college",10,"Never-married","White","Male",35,"<=50K"
"241",241,62,"Federal-gov","Some-college",10,"Divorced","Black","Male",40,"<=50K"
"242",242,39,"Private","HS-grad",9,"Never-married","Black","Female",40,"<=50K"
"243",243,30,"State-gov","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"244",244,72,"Self-emp-not-inc","Prof-school",15,"Never-married","White","Male",20,"<=50K"
"245",245,50,"Private","Some-college",10,"Married-civ-spouse","White","Female",50,"<=50K"
"246",246,28,"Local-gov","Masters",14,"Never-married","White","Male",40,"<=50K"
"247",247,29,"Private","Some-college",10,"Never-married","White","Female",40,"<=50K"
"248",248,26,"Private","Bachelors",13,"Never-married","White","Female",40,"<=50K"
"249",249,27,"Private","Masters",14,"Never-married","White","Female",40,"<=50K"
"250",250,29,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"251",251,29,"Private","10th",6,"Married-civ-spouse","White","Male",25,"<=50K"
"252",252,31,"Private","11th",7,"Married-civ-spouse","White","Female",20,"<=50K"
"253",253,25,"Private","HS-grad",9,"Married-civ-spouse","White","Male",75,"<=50K"
"254",254,58,"Private","10th",6,"Married-civ-spouse","White","Male",40,">50K"
"255",255,64,"Private","Some-college",10,"Married-civ-spouse","White","Female",40,">50K"
"256",256,46,"State-gov","Masters",14,"Never-married","White","Male",38,"<=50K"
"257",257,19,"Private","HS-grad",9,"Never-married","Amer-Indian-Eskimo","Female",35,"<=50K"
"258",258,42,"Private","HS-grad",9,"Divorced","Black","Male",52,"<=50K"
"259",259,18,"Private","11th",7,"Never-married","White","Male",24,"<=50K"
"260",260,58,"Self-emp-inc","Bachelors",13,"Married-civ-spouse","White","Male",50,">50K"
"261",261,20,"Private","Some-college",10,"Never-married","Black","Male",60,"<=50K"
"262",262,35,"Federal-gov","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"263",263,32,"Private","HS-grad",9,"Married-civ-spouse","White","Male",38,">50K"
"264",264,23,"Private","HS-grad",9,"Never-married","White","Female",25,"<=50K"
"265",265,31,"Private","Some-college",10,"Divorced","White","Female",40,"<=50K"
"266",266,33,"Private","Bachelors",13,"Married-civ-spouse","Black","Male",55,"<=50K"
"267",267,41,"Private","Some-college",10,"Never-married","White","Female",48,"<=50K"
"268",268,22,"Private","HS-grad",9,"Never-married","Black","Male",40,"<=50K"
"269",269,46,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"270",270,61,"Federal-gov","Some-college",10,"Married-civ-spouse","Black","Male",40,"<=50K"
"271",271,30,"Private","HS-grad",9,"Never-married","Black","Male",40,"<=50K"
"272",272,42,"Private","HS-grad",9,"Married-civ-spouse","White","Male",55,">50K"
"273",273,63,"Private","10th",6,"Married-civ-spouse","White","Male",40,"<=50K"
"274",274,26,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"275",275,42,"Private","10th",6,"Divorced","White","Female",40,"<=50K"
"276",276,23,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"277",277,25,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"278",278,30,"Private","9th",5,"Married-civ-spouse","White","Male",32,">50K"
"279",279,23,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"280",280,34,"Self-emp-not-inc","Assoc-voc",11,"Never-married","White","Male",60,">50K"
"281",281,30,"Private","HS-grad",9,"Married-civ-spouse","White","Male",48,"<=50K"
"282",282,39,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"283",283,30,"Private","11th",7,"Never-married","White","Male",38,"<=50K"
"284",284,38,"Local-gov","Some-college",10,"Divorced","White","Female",38,"<=50K"
"285",285,26,"Private","HS-grad",9,"Divorced","White","Female",40,"<=50K"
"286",286,20,"Private","Some-college",10,"Never-married","White","Male",16,"<=50K"
"287",287,37,"Local-gov","Bachelors",13,"Never-married","Black","Male",40,"<=50K"
"288",288,33,"Private","HS-grad",9,"Married-civ-spouse","White","Female",40,"<=50K"
"289",289,24,"Private","Bachelors",13,"Never-married","White","Male",40,"<=50K"
"290",290,42,"Self-emp-inc","Bachelors",13,"Married-civ-spouse","White","Male",60,">50K"
"291",291,51,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","Asian-Pac-Islander","Male",84,"<=50K"
"292",292,56,"Local-gov","Assoc-acdm",12,"Married-civ-spouse","White","Male",45,">50K"
"293",293,22,"Private","Some-college",10,"Never-married","White","Male",40,"<=50K"
"294",294,52,"Self-emp-not-inc","Some-college",10,"Married-civ-spouse","White","Male",60,"<=50K"
"295",295,44,"Private","Bachelors",13,"Divorced","White","Female",45,">50K"
"296",296,34,"Private","HS-grad",9,"Married-civ-spouse","White","Female",35,"<=50K"
"297",297,51,"Private","Some-college",10,"Divorced","White","Male",42,">50K"
"298",298,19,"Private","Some-college",10,"Never-married","White","Female",25,"<=50K"
"299",299,37,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"300",300,68,"Private","HS-grad",9,"Married-civ-spouse","Black","Male",40,">50K"
"301",301,22,"Private","Some-college",10,"Divorced","White","Male",40,"<=50K"
"302",302,56,"Self-emp-inc","Bachelors",13,"Married-civ-spouse","White","Male",40,"<=50K"
"303",303,37,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"304",304,52,"Private","1st-4th",2,"Married-civ-spouse","White","Male",40,"<=50K"
"305",305,26,"Private","HS-grad",9,"Separated","White","Male",40,"<=50K"
"306",306,33,"Private","Masters",14,"Married-civ-spouse","White","Male",50,"<=50K"
"307",307,45,"Local-gov","Masters",14,"Divorced","White","Female",42,"<=50K"
"308",308,18,"Private","11th",7,"Never-married","White","Male",15,"<=50K"
"309",309,43,"Self-emp-not-inc","Some-college",10,"Married-civ-spouse","White","Male",60,">50K"
"310",310,64,"Self-emp-not-inc","Doctorate",16,"Married-civ-spouse","White","Male",50,">50K"
"311",311,18,"Private","HS-grad",9,"Never-married","White","Male",20,"<=50K"
"312",312,57,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"313",313,41,"Private","HS-grad",9,"Divorced","White","Female",42,"<=50K"
"314",314,34,"Private","Masters",14,"Married-civ-spouse","White","Male",50,">50K"
"315",315,19,"Private","HS-grad",9,"Never-married","White","Female",40,"<=50K"
"316",316,44,"Private","9th",5,"Divorced","White","Female",55,"<=50K"
"317",317,56,"Private","10th",6,"Widowed","White","Female",40,"<=50K"
"318",318,36,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","White","Male",80,"<=50K"
"319",319,48,"Private","Bachelors",13,"Divorced","White","Female",48,"<=50K"
"320",320,29,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"321",321,33,"Private","Bachelors",13,"Never-married","White","Male",40,"<=50K"
"322",322,31,"Private","5th-6th",3,"Married-civ-spouse","White","Male",40,"<=50K"
"323",323,39,"Private","Masters",14,"Married-civ-spouse","White","Male",45,">50K"
"324",324,66,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"325",325,27,"Private","Bachelors",13,"Never-married","White","Female",50,">50K"
"326",326,39,"Private","HS-grad",9,"Divorced","Black","Female",40,">50K"
"327",327,59,"Private","7th-8th",4,"Married-civ-spouse","White","Male",50,">50K"
"328",328,26,"Private","HS-grad",9,"Never-married","White","Female",40,"<=50K"
"329",329,31,"Private","Assoc-voc",11,"Divorced","White","Male",40,"<=50K"
"330",330,23,"Private","HS-grad",9,"Never-married","White","Male",30,"<=50K"
"331",331,36,"Local-gov","HS-grad",9,"Divorced","White","Female",40,"<=50K"
